Category,Title,Price,Rating,Review Count
Electronics,Apple AirTag,9.77,4.6,384
Electronics,USB C Charger iPhone Charger Fast Charging 3Pack 20W Type C Wall Charger Block with 6FT Long USB C to Lightning Cable Compatible with for iPhone 14Pro/13 Pro/12/12 Pro Max/11/XS Max/XS/XR/X/8,9.99,4.7,218
Electronics,"20W USB C Fast Charger Compatible with iPhone 15/15 Plus/ 15 Pro/ 15 Pro Max/iPad Pro/Samsung, 2Pack PD Type C Charger Blocks with 6FT USB C to C Cable",7.99,4.4,1890
Electronics,"SAMSUNG Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite",169.99,4.6,3866
Electronics,"iPhone Charger Cable,3Pack (MFi Certified) Data Sync Charging Cords with 3Pack USB Wall Charger Travel Plug Adapter Compatible with iPhone 14Pro/13 Pro/12/12 Pro Max/11 Pro Max/XS Max/XS/XR/X/8",19.77,4.7,139
Electronics,"15FT Flat Extension Cord, Flat Plug Power Strip with USB C, Ultra Thin Flat Plug Extension Cord - 6 Outlets with 4 USB Ports(2 USB C Outlet), No Surge Protector for Dorm Room Travel Essentials",19.99,4.8,802
Electronics,"Bluetooth Speaker with HD Sound, Portable Wireless, IPX5 Waterproof, Up to 24H Playtime, TWS Pairing, BT5.3, for Home/Party/Outdoor/Beach, Electronic Gadgets, Birthday Gift (Black)",19.99,4.5,10646
Electronics,"Compressed Air Duster, 3-Gear to 100000RPM Electric Air Duster Portable Cordless Air Blower with LED Light, for cleaning keyboard & PC, Air Cleaning Kit-no Canned air dusters-Rechargeable (Black)",29.98,4.8,110
Electronics,"JBL Tune Flex - True Wireless Noise Cancelling Earbuds (Black), Small",69.95,4.1,4378
Electronics,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, Black with Pressure Sensor, 3 Modes",49.94,4.5,175
Electronics,"JBL TUNE 770NC - Adaptive Noise Cancelling with Smart Ambient Wireless Over-Ear Headphones, Bluetooth 5.3, Up to 70H battery life with speed charge, Lightweight, comfortable & foldable design (Blue)",99.95,4.4,275
Electronics,"OSIM 4Pack BK-40AAABU Ni-MH AAA Rechargeable Batteries 400mah AAA Ni-MH Rechargeable Batteries 1.2V for Panasonic Cordless Phones, Remote Controls, Electronics",18.99,4.6,278
Electronics,"LC-dolida Sleep Headphones, 3D Sleep Mask Bluetooth Wireless Music Eye Mask, Sleeping Headphones for Side Sleepers Sleep Mask with Bluetooth Headphones Ultra-Thin Stereo Speakers Perfect for Sleeping",28.99,4.3,474
Electronics,"Projector with WiFi and Bluetooth, 2024 Upgrade Outdoor Projector, Mini Movie Projector Supports 1080P Synchronize Smartphone Screen by WiFi/USB Cable for Home Entertainment",69.99,4.3,4019
Electronics,"Label Maker Machine with Tape, P21 Bluetooth Label Printer, Wireless Mini Label Makers with Multiple Templates for Organizing Office Home, White",29.99,4.5,4386
Electronics,iPhone Charger Fast Charging 2Pack 20W PD USB C Wall Fast Charger Block with 6&10FT USB C to Lightning Cable Compatible with iPhone 14 Pro Max/13 Pro Max/12 Pro Max/11Pro/XS/XR/X/8/SE,15.99,4.6,2262
Electronics,"Bose QuietComfort Ultra Wireless Noise Cancelling Headphones with Spatial Audio, Over-the-Ear Headphones with Mic, Up to 24 Hours of Battery Life, Sandstone - Limited Edition Color",429,4.3,2691
Electronics,"USB Charging Station 4 Port - BULL USB Charger Block Multiple USB Charging Station, USB Wall Charger USB Charger Cable White 6ft USB Charging Hub for Multiple Devices (ULlisted)",23.86,4.7,3359
Electronics,"Screen Cleaner Wipes: Electronic Wipes for Screens - Computer Screen Wipes for Lens, Phone, Tv Screen and Monitor Cleaning - Tech Wipes & Microfiber Cloth (Soft Wipes, 30 Count)",9.49,4.3,493
Electronics,"8OZ Screen Cleaner Spray Cadith Screen Cleaning Kit for TV, Computer, Laptop, Phone, Ipad - Electronic Cleaner - Microfiber Cloth Wipes",8.88,4.4,153
